dataset_role,dataset_scope,station_context,source,source_sha256,input_format,combined_status,object_status,object_count,corridor_object_count,object_latency_ms,tactile_status,tactile_instance_count,tactile_class_counts,tactile_mask_coverage,tactile_latency_ms,peak_rss_mb,object_output,tactile_output,tactile_prediction_mask,tactile_prediction_mask_sha256,error
test_only,station_environment,station_access_sidewalk,data\samples\images (1).jpg,6e67dae7feddd956b62e7661304716d2428e578045b00b5da8571f44f003bf2c,jpg,STOP_OBSTACLE,STOP_OBSTACLE,5,3,16.5021,STOP_UNCERTAIN,1,"{""braille"": 1}",0.021663411458333334,19.7065,369.01953125,runs\sample-evaluation\object\images (1)_jpg.jpg,runs\sample-evaluation\tactile\images (1)_jpg.jpg,runs\sample-evaluation\tactile_masks\images (1)_jpg.png,f2cad116ebfa295072b77d0e24e56b9c7b0c8a3e2d65f5d58a66da153f7ea16d,
test_only,station_environment,station_platform,data\samples\images (2).jpg,e1b84780011a136382d1b3d1f7a8ee12800322981b7ad30852901f8dd23b6f47,jpg,STOP_OBSTACLE,STOP_OBSTACLE,3,2,31.3881,STOP_UNCERTAIN,0,{},0.0,28.6915,381.53125,runs\sample-evaluation\object\images (2)_jpg.jpg,runs\sample-evaluation\tactile\images (2)_jpg.jpg,runs\sample-evaluation\tactile_masks\images (2)_jpg.png,1156874c73c9159bc86092960e693b13a320eb386c855521c383b0b26f24b0ff,
test_only,station_environment,station_concourse,data\samples\images (3).jpg,885311125ddf800a3fb13dd000e4694d6ad5f70d4be772153c1a4d6f7e61fdc7,jpg,STOP_OBSTACLE,STOP_OBSTACLE,6,6,35.2483,STOP_UNCERTAIN,0,{},0.0,28.3407,388.2734375,runs\sample-evaluation\object\images (3)_jpg.jpg,runs\sample-evaluation\tactile\images (3)_jpg.jpg,runs\sample-evaluation\tactile_masks\images (3)_jpg.png,ddbfb46407f16b279455a29d9ca22238d5196637d36906bb344133192d28cecc,
test_only,station_environment,station_platform,data\samples\images (4).jpg,2b9980a1d88ae2a7d30fa2ec096b8cdd25428b4ed3b62296708ebc45d93ef232,jpg,STOP_OBSTACLE,STOP_OBSTACLE,3,1,40.4214,STOP_UNCERTAIN,0,{},0.0,31.3988,395.66015625,runs\sample-evaluation\object\images (4)_jpg.jpg,runs\sample-evaluation\tactile\images (4)_jpg.jpg,runs\sample-evaluation\tactile_masks\images (4)_jpg.png,92c14b7ead785e9f974655170fbf02609afbafcf5695afb531ff20315bbaa383,
test_only,station_environment,station_platform,data\samples\images.jpg,f2832bcd4534d293d95f9e3cf35026819d14130509133404198e9e5a2a5b325e,jpg,STOP_OBSTACLE,STOP_OBSTACLE,5,3,18.887,STOP_UNCERTAIN,1,"{""braille"": 1}",0.0219482421875,22.6169,396.75,runs\sample-evaluation\object\images_jpg.jpg,runs\sample-evaluation\tactile\images_jpg.jpg,runs\sample-evaluation\tactile_masks\images_jpg.png,17c5664d26630a2834eab9fd021ae40120a8f0d113d27b01c57bd31f28b7aa84,
test_only,station_environment,station_platform,data\samples\jakarta-indonesia-may-142025-commuter-260nw-2627152495.webp,e1c3f5cdc19233f2999155e6c9e5f9bc44cbbf9d4f998aa6c1cfe1d195ba0b16,webp,STOP_OBSTACLE,STOP_OBSTACLE,1,1,31.114,STOP_UNCERTAIN,1,"{""braille"": 1}",0.04146205357142857,30.9341,402.6796875,runs\sample-evaluation\object\jakarta-indonesia-may-142025-commuter-260nw-2627152495_webp.jpg,runs\sample-evaluation\tactile\jakarta-indonesia-may-142025-commuter-260nw-2627152495_webp.jpg,runs\sample-evaluation\tactile_masks\jakarta-indonesia-may-142025-commuter-260nw-2627152495_webp.png,4f8aae38fa1d4e3d7c52687a9de04212b6ce7a216172f8d7fd860c3eaffd1d1e,
test_only,station_environment,station_platform,data\samples\livery-bernuansa-merah-putih-menghiasi-rangkaian-ka-yang-melayani-perjalanan-di-wilayah-kai-daop-8-surabaya-dalam-rangka-semarak-hut-ke-81-kemerdekaan-ri-2026-kai-QtAkk.webp,44b148487fec014ef1200546183a9ba9dbe0751bb679e91bb506ea2693162e9e,webp,STOP_OBSTACLE,STOP_OBSTACLE,4,3,29.3671,STOP_UNCERTAIN,1,"{""braille"": 1}",0.0298828125,29.8455,411.7421875,runs\sample-evaluation\object\livery-bernuansa-merah-putih-menghiasi-rangkaian-ka-yang-melayani-perjalanan-di-wilayah-kai-daop-8-surabaya-dalam-rangka-semarak-hut-ke-81-kemerdekaan-ri-2026-kai-QtAkk_webp.jpg,runs\sample-evaluation\tactile\livery-bernuansa-merah-putih-menghiasi-rangkaian-ka-yang-melayani-perjalanan-di-wilayah-kai-daop-8-surabaya-dalam-rangka-semarak-hut-ke-81-kemerdekaan-ri-2026-kai-QtAkk_webp.jpg,runs\sample-evaluation\tactile_masks\livery-bernuansa-merah-putih-menghiasi-rangkaian-ka-yang-melayani-perjalanan-di-wilayah-kai-daop-8-surabaya-dalam-rangka-semarak-hut-ke-81-kemerdekaan-ri-2026-kai-QtAkk_webp.png,a415e6c1837175c3f06007977624fe5e41463facb37559ceeb60054b8bd2ad31,
test_only,station_environment,station_platform,data\samples\Peron jalur satu Stasiun Catang pada April 2026.jpg,51e8b91261adccbf8c5812df325659ddbbfd971e799d8c869e17c87abaa12e0b,jpg,STOP_OBSTACLE,STOP_OBSTACLE,6,2,22.9282,STOP_UNCERTAIN,1,"{""braille"": 1}",0.04038783482142857,23.2531,501.05859375,runs\sample-evaluation\object\Peron jalur satu Stasiun Catang pada April 2026_jpg.jpg,runs\sample-evaluation\tactile\Peron jalur satu Stasiun Catang pada April 2026_jpg.jpg,runs\sample-evaluation\tactile_masks\Peron jalur satu Stasiun Catang pada April 2026_jpg.png,24aab8573d3c65d874aa0f3d7ec2f355827029dda63b9278b3679808672f3e52,
test_only,station_environment,station_platform,data\samples\Peron Stasiun ANgke.jpg,8f6281bd99020a5c834e1d02c10710efa116d3152f79969d37fdc01976db7b66,jpg,STOP_OBSTACLE,STOP_OBSTACLE,3,3,25.999,STOP_UNCERTAIN,0,{},0.0,29.1209,1031.859375,runs\sample-evaluation\object\Peron Stasiun ANgke_jpg.jpg,runs\sample-evaluation\tactile\Peron Stasiun ANgke_jpg.jpg,runs\sample-evaluation\tactile_masks\Peron Stasiun ANgke_jpg.png,47118de0dfc79d25ccea2fffd54b59f3f0009237007253b6946da04b6b66b2c7,
test_only,station_environment,station_platform,data\samples\Peron Stasiun Pasar Minggu 2026.jpg,ddbd834ef8c38cd2930fca466a647b4170a5d497bff8b14642897e4726924218,jpg,STOP_OBSTACLE,STOP_OBSTACLE,4,2,17.8102,STOP_UNCERTAIN,1,"{""braille"": 1}",0.05225830078125,26.1278,993.53125,runs\sample-evaluation\object\Peron Stasiun Pasar Minggu 2026_jpg.jpg,runs\sample-evaluation\tactile\Peron Stasiun Pasar Minggu 2026_jpg.jpg,runs\sample-evaluation\tactile_masks\Peron Stasiun Pasar Minggu 2026_jpg.png,08e8a4bfe5d672723196bad2d5414ce36329a9727182348977cdae72dacac806,
test_only,station_environment,station_access,data\samples\Pintu Gerbang Stasiun Lrt Rawamangun Februari 2026.png,3caa087efcbfaf6f9da473d0216412593fa511231b7aed905ef6b3a014422ac2,png,STOP_UNCERTAIN,STOP_UNCERTAIN,0,0,49.7529,STOP_UNCERTAIN,1,"{""braille"": 1}",0.012099609375,38.2235,989.796875,runs\sample-evaluation\object\Pintu Gerbang Stasiun Lrt Rawamangun Februari 2026_png.jpg,runs\sample-evaluation\tactile\Pintu Gerbang Stasiun Lrt Rawamangun Februari 2026_png.jpg,runs\sample-evaluation\tactile_masks\Pintu Gerbang Stasiun Lrt Rawamangun Februari 2026_png.png,2ff44b3194e12df435616b47d5b0d99aaa316a2f0b8a31cd508c7e5f6df17abb,
test_only,station_environment,station_access,data\samples\Stasiun Pakisaji 2026.jpg,4165ae51401fdc005f857d2e794ce769a4ef78646c5aa716e61d0a4d01f15ced,jpg,STOP_OBSTACLE,STOP_OBSTACLE,7,5,33.2152,STOP_UNCERTAIN,1,"{""braille"": 1}",0.00526123046875,27.6617,474.01171875,runs\sample-evaluation\object\Stasiun Pakisaji 2026_jpg.jpg,runs\sample-evaluation\tactile\Stasiun Pakisaji 2026_jpg.jpg,runs\sample-evaluation\tactile_masks\Stasiun Pakisaji 2026_jpg.png,df87cf765c259e2cb7132d824f9c71dd655f01b6de63848b4317d39a0404193c,
test_only,station_environment,station_platform,data\samples\Stasiun Sumberpucung 2026.jpg,917a26f0dbbe70a32fc2cd47cc02fe241ace11078fd88976ce786efdc04aedc0,jpg,STOP_OBSTACLE,STOP_OBSTACLE,2,2,25.6144,STOP_UNCERTAIN,0,{},0.0,27.5463,1018.47265625,runs\sample-evaluation\object\Stasiun Sumberpucung 2026_jpg.jpg,runs\sample-evaluation\tactile\Stasiun Sumberpucung 2026_jpg.jpg,runs\sample-evaluation\tactile_masks\Stasiun Sumberpucung 2026_jpg.png,19d39ef6ff0bdb7940b446cec3a056e6111d9203389c47092d4e44d940757d75,
test_only,station_environment,station_platform,data\samples\stasiun-jaksel.webp,57cfab952a7f472f632064b26baf49e957571cefed6cfcd01b1073172299c419,webp,STOP_OBSTACLE,STOP_OBSTACLE,6,1,18.7848,STOP_UNCERTAIN,1,"{""braille"": 1}",0.022265625,23.2234,990.16015625,runs\sample-evaluation\object\stasiun-jaksel_webp.jpg,runs\sample-evaluation\tactile\stasiun-jaksel_webp.jpg,runs\sample-evaluation\tactile_masks\stasiun-jaksel_webp.png,409918a101e8af096c33ab221f7e42b11d1fdc360832fbfc91d9b9df4ed324f1,
test_only,station_environment,station_platform,data\samples\stasiun_tanah_abang_-_bisniscom_dwi_rachmawati_1712569176.webp,a29fbbe94c5a5274a3ed16f617ffa8f7889dfc7fd355264e3a8aa9dc268d5664,webp,STOP_OBSTACLE,STOP_OBSTACLE,10,9,19.8617,STOP_UNCERTAIN,1,"{""braille"": 1}",0.02490234375,23.0442,447.4765625,runs\sample-evaluation\object\stasiun_tanah_abang_-_bisniscom_dwi_rachmawati_1712569176_webp.jpg,runs\sample-evaluation\tactile\stasiun_tanah_abang_-_bisniscom_dwi_rachmawati_1712569176_webp.jpg,runs\sample-evaluation\tactile_masks\stasiun_tanah_abang_-_bisniscom_dwi_rachmawati_1712569176_webp.png,897681b0372c25e03747e51512b96cb2979d0065b0b7b1db7854889fe3521a4b,
test_only,station_environment,station_interior,data\samples\sudut-stasiun-bandung.jpg,d78862120f35027bfc242ba1eca5b17c37dcac45e8491c58fb072b975622f169,jpg,STOP_OBSTACLE,STOP_OBSTACLE,9,9,24.3829,STOP_UNCERTAIN,1,"{""braille"": 1}",0.01612548828125,22.9036,428.65625,runs\sample-evaluation\object\sudut-stasiun-bandung_jpg.jpg,runs\sample-evaluation\tactile\sudut-stasiun-bandung_jpg.jpg,runs\sample-evaluation\tactile_masks\sudut-stasiun-bandung_jpg.png,4995119a8a4ba0eaeff10f17791bf43ee4628eaa4005cc18495099118bfc8d8f,
test_only,station_environment,station_platform,"data\samples\Tampak dalam Stasiun Slawi, 2026.jpg",2c0af364014e90b4d2a13d12fb365f81ef156c6848e59e2d30090e66df46d1f5,jpg,STOP_OBSTACLE,STOP_OBSTACLE,8,5,21.3247,STOP_UNCERTAIN,1,"{""braille"": 1}",0.0143798828125,24.0509,490.76171875,"runs\sample-evaluation\object\Tampak dalam Stasiun Slawi, 2026_jpg.jpg","runs\sample-evaluation\tactile\Tampak dalam Stasiun Slawi, 2026_jpg.jpg","runs\sample-evaluation\tactile_masks\Tampak dalam Stasiun Slawi, 2026_jpg.png",23c7f3076d45bde45226268e5f3acbe812f57bc62431e98452ea170c0c554622,
